3.8434 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.1926 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
21.3715 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CD4C19FF40>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CD4D0EFB80>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.3717 	EXP 	window1: mouseVisible = True
21.3719 	EXP 	window1: mouseVisible = False
21.3719 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.3719 	EXP 	window1: recordFrameIntervals = False
21.5373 	EXP 	window1: recordFrameIntervals = True
21.7212 	EXP 	Screen (0) actual frame rate measured at 60.04Hz
21.7213 	EXP 	window1: recordFrameIntervals = False
25.9912 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
26.0410 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
26.0521 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
26.0530 	EXP 	New trial (rep=0, index=0): None
26.0788 	EXP 	grating: ori = -2.0
26.0788 	EXP 	fixation: autoDraw = True
27.1535 	EXP 	grating: autoDraw = True
27.1535 	EXP 	grating: tex = 'sin'
27.1588 	EXP 	fixation: autoDraw = False
27.4691 	EXP 	grating: autoDraw = False
28.0389 	DATA 	Keypress: right
35.3904 	EXP 	New trial (rep=1, index=0): None
35.3921 	DATA 	Keypress: up
35.4002 	EXP 	fixation: autoDraw = False
35.4002 	EXP 	grating: autoDraw = False
35.4002 	EXP 	grating: ori = 0.0
35.4002 	EXP 	fixation: autoDraw = True
36.4004 	EXP 	fixation: autoDraw = False
36.4004 	EXP 	grating: autoDraw = True
36.7001 	EXP 	grating: autoDraw = False
36.8921 	EXP 	New trial (rep=2, index=0): None
36.8945 	DATA 	Keypress: down
36.8999 	EXP 	fixation: autoDraw = False
36.8999 	EXP 	grating: autoDraw = False
36.8999 	EXP 	grating: ori = 0.0
36.8999 	EXP 	fixation: autoDraw = True
37.8999 	EXP 	fixation: autoDraw = False
37.8999 	EXP 	grating: autoDraw = True
38.1996 	EXP 	grating: autoDraw = False
38.5765 	EXP 	New trial (rep=3, index=0): None
38.5794 	DATA 	Keypress: up
38.5829 	EXP 	fixation: autoDraw = False
38.5829 	EXP 	grating: autoDraw = False
38.5829 	EXP 	grating: ori = -5.0
38.5829 	EXP 	fixation: autoDraw = True
39.5830 	EXP 	fixation: autoDraw = False
39.5830 	EXP 	grating: autoDraw = True
39.8827 	EXP 	grating: autoDraw = False
39.9059 	EXP 	New trial (rep=4, index=0): None
39.9083 	DATA 	Keypress: up
39.9160 	EXP 	fixation: autoDraw = False
39.9160 	EXP 	grating: autoDraw = False
39.9160 	EXP 	grating: ori = -4.0
39.9160 	EXP 	fixation: autoDraw = True
40.9159 	EXP 	fixation: autoDraw = False
40.9159 	EXP 	grating: autoDraw = True
41.2158 	EXP 	grating: autoDraw = False
41.4029 	EXP 	New trial (rep=5, index=0): None
41.4046 	DATA 	Keypress: down
41.4155 	EXP 	fixation: autoDraw = False
41.4155 	EXP 	grating: autoDraw = False
41.4155 	EXP 	grating: ori = -2.0
41.4155 	EXP 	fixation: autoDraw = True
42.4157 	EXP 	fixation: autoDraw = False
42.4157 	EXP 	grating: autoDraw = True
42.7152 	EXP 	grating: autoDraw = False
42.8552 	EXP 	New trial (rep=6, index=0): None
42.8571 	DATA 	Keypress: up
42.8652 	EXP 	fixation: autoDraw = False
42.8652 	EXP 	grating: autoDraw = False
42.8652 	EXP 	grating: ori = 4.0
42.8652 	EXP 	fixation: autoDraw = True
43.8650 	EXP 	fixation: autoDraw = False
43.8650 	EXP 	grating: autoDraw = True
44.1652 	EXP 	grating: autoDraw = False
44.3029 	EXP 	New trial (rep=7, index=0): None
44.3051 	DATA 	Keypress: up
44.3148 	EXP 	fixation: autoDraw = False
44.3148 	EXP 	grating: autoDraw = False
44.3148 	EXP 	grating: ori = 0.0
44.3148 	EXP 	fixation: autoDraw = True
45.3147 	EXP 	fixation: autoDraw = False
45.3147 	EXP 	grating: autoDraw = True
45.6144 	EXP 	grating: autoDraw = False
45.9885 	EXP 	New trial (rep=8, index=0): None
45.9908 	DATA 	Keypress: down
45.9979 	EXP 	fixation: autoDraw = False
45.9979 	EXP 	grating: autoDraw = False
45.9979 	EXP 	grating: ori = -2.0
45.9979 	EXP 	fixation: autoDraw = True
46.9979 	EXP 	fixation: autoDraw = False
46.9979 	EXP 	grating: autoDraw = True
47.2974 	EXP 	grating: autoDraw = False
47.4182 	EXP 	New trial (rep=9, index=0): None
47.4199 	DATA 	Keypress: up
47.4308 	EXP 	fixation: autoDraw = False
47.4308 	EXP 	grating: autoDraw = False
47.4308 	EXP 	grating: ori = 0.0
47.4308 	EXP 	fixation: autoDraw = True
48.4310 	EXP 	fixation: autoDraw = False
48.4310 	EXP 	grating: autoDraw = True
48.7306 	EXP 	grating: autoDraw = False
48.8891 	EXP 	New trial (rep=10, index=0): None
48.8923 	DATA 	Keypress: up
48.8972 	EXP 	fixation: autoDraw = False
48.8972 	EXP 	grating: autoDraw = False
48.8972 	EXP 	grating: ori = 0.0
48.8972 	EXP 	fixation: autoDraw = True
49.8970 	EXP 	fixation: autoDraw = False
49.8970 	EXP 	grating: autoDraw = True
50.1969 	EXP 	grating: autoDraw = False
50.4067 	EXP 	New trial (rep=11, index=0): None
50.4102 	DATA 	Keypress: down
50.4134 	EXP 	fixation: autoDraw = False
50.4134 	EXP 	grating: autoDraw = False
50.4134 	EXP 	grating: ori = 1.0
50.4134 	EXP 	fixation: autoDraw = True
51.4136 	EXP 	fixation: autoDraw = False
51.4136 	EXP 	grating: autoDraw = True
51.7134 	EXP 	grating: autoDraw = False
51.8410 	EXP 	New trial (rep=12, index=0): None
51.8458 	DATA 	Keypress: up
51.8490 	EXP 	fixation: autoDraw = False
51.8490 	EXP 	grating: autoDraw = False
51.8490 	EXP 	grating: ori = 0.0
51.8490 	EXP 	fixation: autoDraw = True
52.8466 	EXP 	grating: autoDraw = True
52.8631 	EXP 	fixation: autoDraw = False
53.1462 	EXP 	grating: autoDraw = False
53.2074 	EXP 	New trial (rep=13, index=0): None
53.2103 	DATA 	Keypress: up
53.2130 	EXP 	fixation: autoDraw = False
53.2130 	EXP 	grating: autoDraw = False
53.2130 	EXP 	grating: ori = -3.0
53.2130 	EXP 	fixation: autoDraw = True
54.2126 	EXP 	fixation: autoDraw = False
54.2126 	EXP 	grating: autoDraw = True
54.5125 	EXP 	grating: autoDraw = False
54.5541 	EXP 	New trial (rep=14, index=0): None
54.5577 	DATA 	Keypress: up
54.5626 	EXP 	fixation: autoDraw = False
54.5626 	EXP 	grating: autoDraw = False
54.5626 	EXP 	grating: ori = -4.0
54.5626 	EXP 	fixation: autoDraw = True
55.5621 	EXP 	fixation: autoDraw = False
55.5621 	EXP 	grating: autoDraw = True
55.8620 	EXP 	grating: autoDraw = False
55.9498 	EXP 	New trial (rep=15, index=0): None
55.9515 	DATA 	Keypress: down
55.9620 	EXP 	fixation: autoDraw = False
55.9620 	EXP 	grating: autoDraw = False
55.9620 	EXP 	grating: ori = 0.0
55.9620 	EXP 	fixation: autoDraw = True
56.9620 	EXP 	fixation: autoDraw = False
56.9620 	EXP 	grating: autoDraw = True
57.2617 	EXP 	grating: autoDraw = False
57.4203 	EXP 	New trial (rep=16, index=0): None
57.4236 	DATA 	Keypress: up
57.4285 	EXP 	fixation: autoDraw = False
57.4285 	EXP 	grating: autoDraw = False
57.4285 	EXP 	grating: ori = 0.0
57.4285 	EXP 	fixation: autoDraw = True
58.4283 	EXP 	fixation: autoDraw = False
58.4283 	EXP 	grating: autoDraw = True
58.7282 	EXP 	grating: autoDraw = False
58.8150 	EXP 	New trial (rep=17, index=0): None
58.8167 	DATA 	Keypress: down
58.8280 	EXP 	fixation: autoDraw = False
58.8280 	EXP 	grating: autoDraw = False
58.8280 	EXP 	grating: ori = -5.0
58.8280 	EXP 	fixation: autoDraw = True
59.8281 	EXP 	fixation: autoDraw = False
59.8281 	EXP 	grating: autoDraw = True
60.1279 	EXP 	grating: autoDraw = False
60.2825 	EXP 	New trial (rep=18, index=0): None
60.2848 	DATA 	Keypress: up
60.2947 	EXP 	fixation: autoDraw = False
60.2947 	EXP 	grating: autoDraw = False
60.2947 	EXP 	grating: ori = -3.0
60.2947 	EXP 	fixation: autoDraw = True
61.2945 	EXP 	fixation: autoDraw = False
61.2945 	EXP 	grating: autoDraw = True
61.5942 	EXP 	grating: autoDraw = False
61.8525 	EXP 	New trial (rep=19, index=0): None
61.8556 	DATA 	Keypress: up
61.8609 	EXP 	fixation: autoDraw = False
61.8609 	EXP 	grating: autoDraw = False
61.8609 	EXP 	grating: ori = 0.0
61.8609 	EXP 	fixation: autoDraw = True
62.8610 	EXP 	fixation: autoDraw = False
62.8610 	EXP 	grating: autoDraw = True
63.1607 	EXP 	grating: autoDraw = False
63.7218 	EXP 	New trial (rep=20, index=0): None
63.7267 	DATA 	Keypress: up
63.7295 	EXP 	fixation: autoDraw = False
63.7295 	EXP 	grating: autoDraw = False
63.7295 	EXP 	grating: ori = 0.0
63.7295 	EXP 	fixation: autoDraw = True
64.7271 	EXP 	grating: autoDraw = True
64.7434 	EXP 	fixation: autoDraw = False
65.0267 	EXP 	grating: autoDraw = False
65.3387 	EXP 	New trial (rep=21, index=0): None
65.3433 	DATA 	Keypress: up
65.3462 	EXP 	fixation: autoDraw = False
65.3462 	EXP 	grating: autoDraw = False
65.3462 	EXP 	grating: ori = 4.0
65.3462 	EXP 	fixation: autoDraw = True
66.3433 	EXP 	grating: autoDraw = True
66.3600 	EXP 	fixation: autoDraw = False
66.6430 	EXP 	grating: autoDraw = False
66.8153 	EXP 	New trial (rep=22, index=0): None
66.8172 	DATA 	Keypress: down
66.8264 	EXP 	fixation: autoDraw = False
66.8264 	EXP 	grating: autoDraw = False
66.8264 	EXP 	grating: ori = 3.0
66.8264 	EXP 	fixation: autoDraw = True
67.8260 	EXP 	fixation: autoDraw = False
67.8260 	EXP 	grating: autoDraw = True
68.1260 	EXP 	grating: autoDraw = False
68.2660 	EXP 	New trial (rep=23, index=0): None
68.2681 	DATA 	Keypress: down
68.2761 	EXP 	fixation: autoDraw = False
68.2761 	EXP 	grating: autoDraw = False
68.2761 	EXP 	grating: ori = -4.0
68.2761 	EXP 	fixation: autoDraw = True
69.2757 	EXP 	fixation: autoDraw = False
69.2757 	EXP 	grating: autoDraw = True
